"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-129","XA-04","","Xi'an","","","","2026-06-04T11:50:11.044Z","","XA-04","618-907 CE","China","Mural Musician Figurines","ovoid","single","Figurine","smooth","tapering","no","short","0","n","yes","straight","XA-04","FALSE","National Museum of China","n","TRUE","FALSE","https://www.chnmuseum.cn/zp/zpml/kgfjp/202111/t20211116_252264.shtml","","","","","online_collection","",""
"LI-130","XA-05","","Xi'an","","","","2026-06-04T11:50:11.044Z","","XA-05","580 CE","Sogdian","Shi Jun Tomb","waterdrop","single","Relief","smooth","tapering","no","short","0","4","yes","bent_backwards","XA-05","TRUE","Smithsonian: National Museum of Asian Art","n","FALSE","FALSE","https://sogdians.si.edu/shi-juns-sarcophagus/","online_gallery","","","https://www.iranicaonline.org/articles/music-history-i-pre-islamic-iran/","online_gallery","",""
"LI-131","YG-01","","Yarghol","","","","2026-06-04T11:50:11.044Z","","YG-01","600-800 CE","Tarim_Basin","Yarghol Lute Player","gourd","double","Painting","obtuse","parallel","yes","short","0","4","yes","straight","YG-01","FALSE","Ethnologisches Museum Berlin","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, pp. 188-189","","","","","catalogue","",""
"LI-132","YK-01","","Yotkan","","","","2026-06-04T11:50:11.044Z","","YK-01","100-300 CE","Tarim_Basin","Yotkan Monkey Playing Lute 1","waterdrop","single","Figurine","smooth","tapering","no","short","0","3","n","straight","YK-01","FALSE","British Museum","n","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_1902-1220-502","literature","","","Stein,1907 Vol. 1, pp. 212-213","online_collection","",""
"LI-133","YK-02","","Yotkan","","","","2026-06-04T11:50:11.044Z","","YK-02","100-300 CE","Tarim_Basin","Yotkan Monkey Playing Lute 2","waterdrop","single","Figurine","smooth","tapering","no","short","0","4","n","straight","YK-02","FALSE","British Museum","n","FALSE","FALSE","https://www.britishmuseum.org/collection/image/1162110001","","","","","online_collection","",""
"LI-123","TB-02","","Takht-i-Bahi","","","","2026-06-04T11:50:11.043Z","","TB-02","100-300 CE","Gandhara","Takht-i-Bahi  Musical Scene 2","gourd","double","Relief","obtuse","parallel","yes","short","0","4","yes","straight","TB-02","FALSE","Peshwar Museum","n","FALSE","FALSE","https://cdn1.shenzhenmuseum.com/userfiles/uploadFile/20240428082625.pdf","","","","","catalogue","",""
"LI-124","TM-01","","Termez","","","","2026-06-04T11:50:11.043Z","","TM-01","200-400 CE","Bactria","Termez Headless Lute Player Figurine","round","single","Figurine","perpendicular","parallel","no","short","2","2","yes","straight","TM-01","FALSE","?","ring","FALSE","FALSE","Muradova,2017, p. 13","","","","","literature","",""
"LI-125","TY-01","","Taiyuan","","","","2026-06-04T11:50:11.043Z","","TY-01","571 CE","China","Xu Xianxiu Tomb","waterdrop","single","Painting","smooth","tapering","no","short","2","4","yes","bent_backwards","TY-01","TRUE","Shanxi Museum","crescent","FALSE","FALSE","Li, 2016, p. 20","","","","","literature","",""
"LI-126","XA-01","","Xi'an","","","","2026-06-04T11:50:11.043Z","","XA-01","579 CE","Sogdian","Anqie Sogdian Tomb","waterdrop","single","Relief","smooth","tapering","no","short","0","n","yes","bent_backwards","XA-01","TRUE","Smithsonian: National Museum of Asian Art","n","FALSE","FALSE","Zhou, 2009, p. 329","online_collection","","","https://sogdians.si.edu/an-qies-funerary-bed/","literature","",""
"LI-127","XA-02","","Xi'an","","","","2026-06-04T11:50:11.043Z","","XA-02","723 CE","Sogdian","Camel with Sogdian Musicians","ovoid","single","Figurine","smooth","tapering","no","short","0","n","yes","straight","XA-02","FALSE","National Museum of China","n","TRUE","FALSE","https://sogdians.si.edu/the-sogdians-abroad/","online_gallery","","","https://commons.wikimedia.org/wiki/File:Tang_Sancai_Porcelain_with_Musicians_on_a_Camel_%28no_background%29.jpg","online_gallery","",""
