"ID","Title","Date","Location","Author","Source","Image Path","record","Note","Code","Period","Regional_Style","Name","Body_Shape","Soundbox_Chamber_Count","Form","Body_Neck_Boundary","Neck_Width","Waist_Presence","Neck_Length","Soundhole_Count","Maximum_String_Count","Pegbox Presence","Head_Angle","Code","Obvious_Plectrum","Collection","Soundhole_Shape","Obvious_Pickguard","Obvious_Fret","Citation_1","Source_Type_2","Source_Type_3","Source_Type_4","Citation_2","Source_Type_1","Citation_3","Citation_4"
"LI-074","MG-08","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-08","848-906 CE","China","Mogao 144 Music Scene","ovoid","single","Painting","smooth","tapering","no","short","0","4","yes","bent_backwards","MG-08","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 84","","","","","catalogue","",""
"LI-075","MG-09","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-09","907-959 CE","China","Mogao 146 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","4","yes","bent_backwards","MG-09","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 300","","","","","catalogue","",""
"LI-076","MG-10","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-10","705–780 CE","China","Mogao 148 Music Scene","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","MG-10","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 53","","","","","catalogue","",""
"LI-077","MG-11","","Mogao Cave","","","","2026-06-04T11:50:11.033Z","","MG-11","848-906 CE","China","Mogao 154 Music Scene","ovoid","single","Painting","smooth","n","no","short","2","4","n","n","MG-11","TRUE","in_situ","crescent","TRUE","FALSE","Gao, 2008, p. 116","","","","","catalogue","",""
"LI-069","MG-03","","Mogao Cave","","","","2026-06-04T11:50:11.032Z","","MG-03","907-959 CE","China","Mogao 98 Music Scene 1","waterdrop","single","Painting","smooth","parallel","no","short","0","4","yes","straight","MG-03","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 104","","","","","catalogue","",""
"LI-070","MG-04","","Mogao Cave","","","","2026-06-04T11:50:11.032Z","","MG-04","907-959 CE","China","Mogao 98 Music Scene 2","waterdrop","single","Painting","smooth","parallel","no","short","0","5","yes","straight","MG-04","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 107","","","","","catalogue","",""
"LI-071","MG-05","","Mogao Cave","","","","2026-06-04T11:50:11.032Z","","MG-05","781-847 CE","China","Mogao 112 Music Scene 1","round","single","Painting","obtuse","parallel","no","long","0","n","no","straight","MG-05","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 76","","","","","catalogue","",""
"LI-072","MG-06","","Mogao Cave","","","","2026-06-04T11:50:11.032Z","","MG-06","781-847 CE","China","Mogao 112 Music Scene 2","ovoid","single","Painting","obtuse","parallel","no","short","2","4","yes","straight","MG-06","TRUE","in_situ","crescent","TRUE","FALSE","Gao, 2008, p. 93","","","","","catalogue","",""
"LI-064","KZ-09","","Kizil","","","","2026-06-04T11:50:11.031Z","","KZ-09","200-300 CE","Tarim_Basin","Kizil 118 Lute","round","single","Painting","perpendicular","parallel","no","long","2","4","yes","straight","KZ-09","TRUE","in_situ","spiral","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 79","","","","","catalogue","",""
"LI-065","KZ-10","","Kizil","","","","2026-06-04T11:50:11.031Z","","KZ-10","600-700 CE","Tarim_Basin","Kizil 123 Lute","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","KZ-10","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 85","","","","","catalogue","",""
"LI-066","LR-01","","Loriyan Tangai","","","","2026-06-04T11:50:11.031Z","","LR-01","100-300 CE","Gandhara","Loriyan Tangai Buddha Playing Lute","waterdrop","single","Relief","smooth","tapering","no","short","2","2","yes","straight","LR-01","FALSE","Indian Museum, Kolkata","ring","FALSE","FALSE","https://photodharma.net/Guests/Kawasaki-Buddhas/index.htm","online_gallery","","","https://photodharma.net/India/Indian-Museum/index.htm","online_gallery","",""
"LI-067","MG-01","","Mogao Cave","","","","2026-06-04T11:50:11.031Z","","MG-01","848-906 CE","China","Mogao 12 Music Scene","ovoid","single","Painting","obtuse","parallel","no","short","0","4","yes","straight","MG-01","FALSE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 106","","","","","catalogue","",""
"LI-068","MG-02","","Mogao Cave","","","","2026-06-04T11:50:11.031Z","","MG-02","848-906 CE","China","Mogao 85 Music Scene Ruan","round","single","Painting","perpendicular","tapering","no","long","0","5","no","straight","MG-02","TRUE","in_situ","n","TRUE","FALSE","Gao, 2008, p. 282","","","","","catalogue","",""
"LI-059","KZ-04","","Kizil","","","","2026-06-04T11:50:11.030Z","","KZ-04","300-400 CE","Tarim_Basin","Kizil 38 Lute1","round","single","Painting","perpendicular","tapering","no","long","0","n","yes","bent_backwards","KZ-04","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 37","","","","","catalogue","",""
"LI-060","KZ-05","","Kizil","","","","2026-06-04T11:50:11.030Z","","KZ-05","300-400 CE","Tarim_Basin","Kizil 38 Lute2","waterdrop","single","Painting","smooth","tapering","no","short","0","3","yes","straight","KZ-05","TRUE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 38","","","","","catalogue","",""
"LI-061","KZ-06","","Kizil","","","","2026-06-04T11:50:11.030Z","","KZ-06","500-600 CE","Tarim_Basin","Kizil 69 Lute","waterdrop","single","Painting","smooth","tapering","no","short","0","3","yes","straight","KZ-06","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 46","","","","","catalogue","",""
"LI-062","KZ-07","","Kizil","","","","2026-06-04T11:50:11.030Z","","KZ-07","300-400 CE","Tarim_Basin","Kizil 77 Lute 1","round","single","Painting","perpendicular","parallel","no","long","2","3","yes","straight","KZ-07","FALSE","in_situ","ring","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 50","","","","","catalogue","",""
"LI-063","KZ-08","","Kizil","","","","2026-06-04T11:50:11.030Z","","KZ-08","300-400 CE","Tarim_Basin","Kizil 77 Lute 2","round","single","Painting","perpendicular","parallel","no","long","2","4","n","n","KZ-08","TRUE","in_situ","spiral","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 66","","","","","catalogue","",""
"LI-055","KR-01","","Kampyrtepa","","","","2026-06-04T11:50:11.028Z","","KR-01","0-200 CE","Bactria","Kampyrtepa Lute Player Figurine","round","single","Figurine","perpendicular","parallel","no","short","0","7","n","straight","KR-01","FALSE","?","n","FALSE","FALSE","Muradova,2017, p. 13","","","","","literature","",""
"LI-056","KZ-01","","Kizil","","","","2026-06-04T11:50:11.029Z","","KZ-01","600-700 CE","Tarim_Basin","Kizil 8","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","KZ-01","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 29","","","","","catalogue","",""
"LI-057","KZ-02","","Kizil","","","","2026-06-04T11:50:11.029Z","","KZ-02","500-600 CE","Tarim_Basin","Kizil 14 Lute1","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","straight","KZ-02","TRUE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 34","","","","","catalogue","",""
"LI-058","KZ-03","","Kizil","","","","2026-06-04T11:50:11.029Z","","KZ-03","500-600 CE","Tarim_Basin","Kizil 14 Lute2","round","single","Painting","perpendicular","tapering","no","long","0","4","yes","bent_backwards","KZ-03","FALSE","in_situ","n","TRUE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 34","","","","","catalogue","",""
"LI-050","KM-01","","Kumutula","","","","2026-06-04T11:50:11.028Z","","KM-01","700-800 CE","Tarim_Basin","Kumutula 13 Lute","round","single","Painting","perpendicular","parallel","no","short","0","4","n","bent_backwards","KM-01","FALSE","in_situ","n","TRUE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 125","","","","","catalogue","",""
"LI-051","KM-02","","Kumutula","","","","2026-06-04T11:50:11.028Z","","KM-02","700-800 CE","Tarim_Basin","Kumutula 58 Lute 1","waterdrop","single","Painting","smooth","tapering","no","short","0","4","yes","bent_backwards","KM-02","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 134","","","","","catalogue","",""
"LI-052","KM-03","","Kumutula","","","","2026-06-04T11:50:11.028Z","","KM-03","700-800 CE","Tarim_Basin","Kumutula 58 Lute 2","waterdrop","single","Painting","smooth","tapering","no","short","0","5","yes","bent_backwards","KM-03","FALSE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 136","","","","","catalogue","",""
"LI-053","KN-01","","Khotan","","","","2026-06-04T11:50:11.028Z","","KN-01","100-300 CE","Tarim_Basin","Monkey Playing Lute, in Russia","waterdrop","single","Figurine","smooth","tapering","no","short","4","4","n","straight","KN-01","TRUE","?","ring","FALSE","FALSE","Dzhani-zade, 2006, p. 132","catalogue","","","Besseler & Schneider, 1987, p. 147","literature","",""
"LI-054","KP-01","","Khantepa","","","","2026-06-04T11:50:11.028Z","","KP-01","500-650 CE","Transoxiana","Khantepa Long Neck Lute","spade","single","Relief","smooth","parallel","no","long","0","3","n","straight","KP-01","TRUE","?","n","FALSE","FALSE","Muradova,2017, p. 13","","","","","literature","",""
"LI-046","JX-01","","Jinxian Xi'an","","","","2026-06-04T11:50:11.027Z","","JX-01","618-907 CE","China","Jinxian Horse Rider with Lute","ovoid","single","Figurine","smooth","tapering","no","short","2","n","n","n","JX-01","FALSE","Henan Museum","crescent","TRUE","FALSE","https://www.chnmus.net/ch/collection/appraise/details.html?id=512157604994293381","","","","","online_collection","",""
"LI-047","KC-01","","Khalchayan","","","","2026-06-04T11:50:11.027Z","","KC-01","100 BC-100 CE","Bactria","Khalchayan Bust of a Girl with a Lute","waterdrop","single","Statue","n","n","no","n","n","n","n","n","KC-01","FALSE","State Museum of Arts of Uzbekistan","n","FALSE","FALSE","The World Society for the Study, 2020b, p. 90","catalogue","","","Besseler & Schneider, 1987, p. 75","catalogue","",""
"LI-048","KG-01","","Kizilgaha","","","","2026-06-04T11:50:11.027Z","","KG-01","600-700 CE","Tarim_Basin","Kizilgaha 30 Lute","waterdrop","single","Painting","smooth","tapering","no","short","0","4","yes","straight","KG-01","TRUE","in_situ","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 193","","","","","catalogue","",""
"LI-049","KK-01","","Kanka","","","","2026-06-04T11:50:11.027Z","","KK-01","400-500 CE","Bactria","Kanka Lute Player","ovoid","single","Relief","obtuse","tapering","no","short","2","2","n","n","KK-01","TRUE","?","ring","FALSE","FALSE","Dzhani-zade, 2006, p. 133","catalogue","","","Besseler & Schneider, 1987, p. 139","literature","",""
"LI-042","JM-01","","Jamal Garhi","","","","2026-06-04T11:50:11.026Z","","JM-01","100-300 CE","Gandhara","Jamal Garhi Stair-riser with Luter Player, British Museum","waterdrop","single","Relief","smooth","tapering","no","short","2","4","n","straight","JM-01","FALSE","British Museum","ring","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_1880-40","","","","","online_collection","",""
"LI-043","JM-02","","Jamal Garhi","","","","2026-06-04T11:50:11.026Z","","JM-02","100-300 CE","Gandhara","Jamal Garhi Stair-riser Banquet","waterdrop","single","Relief","obtuse","parallel","no","short","0","n","n","straight","JM-02","FALSE","British Museum","n","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_1880-33","catalogue","","","(Besseler & Schneider, 1981, p. 145)","online_collection","",""
"LI-044","JM-03","","Jamal Garhi","","","","2026-06-04T11:50:11.026Z","","JM-03","100-300 CE","Gandhara","Jamal Garhi Stair-riser Banquet","ovoid","single","Relief","obtuse","parallel","no","short","0","n","n","straight","JM-03","FALSE","British Museum","n","FALSE","FALSE","https://www.britishmuseum.org/collection/image/149029001","","","","","online_collection","",""
"LI-045","JQ-01","","Jiuquan","","","","2026-06-04T11:50:11.026Z","","JQ-01","304-439 CE","China","Jiuquan Dingjiazha Lute","ovoid","single","Painting","obtuse","parallel","no","short","2","4","yes","straight","JQ-01","FALSE","in_situ","crescent","FALSE","TRUE","Gao, 2008, p. 8","","","","","literature","",""
"LI-037","HN-01","","Hanikatamu","","","","2026-06-04T11:50:11.025Z","","HN-01","600-700 CE","Tarim_Basin","Hanikatamu Lute","waterdrop","single","Relief","smooth","tapering","no","short","0","3","yes","straight","HN-01","FALSE","Hotan Prefecture Cultural Relics Management Office","n","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 195","","","","","literature","",""
"LI-038","IR-01","","? Iran","","","","2026-06-04T11:50:11.025Z","","IR-01","500-600CE","Sassanian","Sassanian Lute Player on a Silver Bowl","waterdrop","single","Vessel","smooth","tapering","no","short","0","n","n","straight","IR-01","TRUE","?","n","FALSE","FALSE","Dzhani-zade, 2006, p. 133","","","","","literature","",""
"LI-039","IR-02","","? Iran","","","","2026-06-04T11:50:11.025Z","","IR-02","700-800 CE","Sassanian","Sassanian Lute Player on a Silver Teapot","ovoid","single","Vessel","smooth","parallel","no","short","2","4","yes","bent_backwards","IR-02","TRUE","?","crescent","FALSE","FALSE","Dzhani-zade, 2006, p. 134","","","","","literature","",""
"LI-040","IR-03","","? Iran","","","","2026-06-04T11:50:11.025Z","","IR-03","400-600 CE","Sassanian","Sassanian Rebab Player","rhombic","single","Vessel","obtuse","parallel","yes","short","0","2","n","straight","IR-03","FALSE","The Metropolitan Museum of Art","n","FALSE","FALSE","https://www.metmuseum.org/art/collection/search/325650","","","","","online_collection","",""
"LI-041","IR-04","","? Iran","","","","2026-06-04T11:50:11.025Z","","IR-04","400-700 CE","Sassanian","Sasanian Plate with Lute Player","ovoid","single","Vessel","obtuse","parallel","no","short","2","2","no","straight","IR-04","FALSE","Smithsonian: National Museum of Asian Art","crescent","FALSE","FALSE","https://ids.si.edu/ids/deliveryService?id=FS-F1964.10_001&max_w=800","literature","","","de Zeeuw, 2019, p. 11","online_collection","",""
"LI-033","HD-01","","Hadda","","","","2026-06-04T11:50:11.024Z","","HD-01","0-200 CE","Gandhara","Hadda Banquet Lute Player","ellipsoid","single","Relief","obtuse","parallel","no","short","2","2","yes","straight","HD-01","TRUE","?","crescent","FALSE","FALSE","https://commons.wikimedia.org/wiki/File:Indo-GreekBanquet.JPG#/media/File:Indo-GreekBanquet.JPG","catalogue","","","Besseler & Schneider, 1981, p. 145","online_gallery","",""
"LI-034","HD-02","","Hadda","","","","2026-06-04T11:50:11.024Z","","HD-02","100-400 CE","Gandhara","Hadda Lute Player","waterdrop","single","Relief","n","n","no","n","0","4","n","n","HD-02","TRUE","National Museum of Afghanistan","n","FALSE","FALSE","https://haddaarcheodb.com/objet/buste-de-musicien-en-position-d-atlante-1","","","","","online_collection","",""
"LI-035","HD-03","","Hadda","","","","2026-06-04T11:50:11.024Z","","HD-03","100-300 CE","Gandhara","Hadda Lute Player in British Musuem","waterdrop","single","Relief","obtuse","parallel","no","short","0","n","n","straight","HD-03","FALSE","British Museum","n","FALSE","FALSE","https://www.britishmuseum.org/collection/object/A_1903-0622-1","","","","","online_collection","",""
"LI-036","HD-04","","Hadda","","","","2026-06-04T11:50:11.024Z","","HD-04","100-400 CE","Gandhara","Hadda musicians","waterdrop","single","Relief","obtuse","parallel","yes","short","4","4","yes","straight","HD-04","TRUE","Musée Guimet","n","FALSE","FALSE","https://haddaarcheodb.com/objet/presentation-aux-temples-brahmaniques-apsaras","","","","","online_collection","",""
"LI-027","GD-03","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-03","0-300 CE","Gandhara","Lautenspieler 2","rectangular","single","Relief","obtuse","parallel","yes","short","0","2","yes","straight","GD-03","TRUE","Staatliche Museen zu Berlin","n","FALSE","FALSE","https://recherche.smb.museum/detail/2299854/schmuckfries-fragment-yaksha-eroten-mit-musikinstrument-links-unidentifiziert-rechts-unter-chaitya-bogen","","","","","online_collection","",""
"LI-028","GD-04","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-04","100-400 CE","Gandhara","Gandhara rilievo con suonatrice di liuto e danzatori","waterdrop","single","Statue","obtuse","parallel","no","short","2","4","yes","straight","GD-04","TRUE","Museo Delle Civiltà","crescent","FALSE","FALSE","https://www.museodellecivilta.it/collezioni/arti-e-culture-asiatiche/","online_gallery","online_collection","","https://en.wikipedia.org/wiki/File:Gandhara,_rilievo_con_suonatrice_di_liuto_e_danzatori,_ii-iv_sec.JPG","online_collection","https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ekvm",""
"LI-029","GD-05","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-05","100-300 CE","Gandhara","British Museum Scene with Musicians","gourd","double","Relief","obtuse","parallel","yes","short","0","5","yes","straight","GD-05","FALSE","British Museum","n","FALSE","FALSE","https://iconographic.warburg.sas.ac.uk/object-wpc-wid-ekvl","catalogue","","","Besseler & Schneider, 1981, p. 140","online_collection","",""
"LI-030","GD-06","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-06","?","Gandhara","Sitting Lute Player","waterdrop","single","Statue","smooth","parallel","no","short","2","4","yes","straight","GD-06","FALSE","?","crescent","FALSE","FALSE","Nawaz, 2025, p. 976","","","","","literature","",""
"LI-031","GD-07","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-07","0-300 CE","Gandhara","Nereus Playing Lute","gourd","double","Relief","obtuse","parallel","yes","short","4","2","yes","straight","GD-07","FALSE","Shaanxi History Museum","crescent","FALSE","FALSE","https://en.wikipedia.org/wiki/File:Nereus_Playing_Lute,_1st-3rd_Cent._AD.jpg","","","","","online_gallery","",""
"LI-032","GD-08","","? Gandhara","","","","2026-06-04T11:50:11.023Z","","GD-08","?","Gandhara","Angle Playing Lute","round","single","Relief","obtuse","parallel","no","short","2","4","yes","straight","GD-08","FALSE","?","crescent","FALSE","FALSE","https://art.icity.ly/events/uewjdmd","","","","","online_gallery","",""
"LI-021","CN-06","","? China","","","","2026-06-04T11:50:11.022Z","","CN-06","650-700 CE","China","MET Tang Lute Player Figurine","ovoid","single","Figurine","smooth","tapering","no","short","2","4","n","n","CN-06","TRUE","The Metropolitan Museum of Art","crescent","FALSE","FALSE","https://www.metmuseum.org/art/collection/search/44801","","","","","online_collection","",""
"LI-022","DV-01","","Dalverzintepa","","","","2026-06-04T11:50:11.022Z","","DV-01","200-400 CE","Bactria","Dalverzintepa Headless Luter Playe Figurine","waterdrop","single","Figurine","smooth","tapering","no","short","0","3","n","straight","DV-01","TRUE","Uzbekistan?","n","FALSE","FALSE","Muradova,2017, p. 13","","","","","literature","",""
"LI-023","DV-02","","Dalverzintepa","","","","2026-06-04T11:50:11.022Z","","DV-02","100-300 CE","Bactria","Dalverzintepa Lute Player Figurine","waterdrop","single","Figurine","smooth","tapering","no","short","0","n","n","straight","DV-02","TRUE","Uzbekistan?","n","FALSE","FALSE","Muradova,2017, p. 13","","","","","literature","",""
"LI-024","GC-01","","Gaochang","","","","2026-06-04T11:50:11.022Z","","GC-01","800-900 CE","Tarim_Basin","Gaochang Lute","waterdrop","single","Painting","smooth","tapering","no","short","2","4","n","n","GC-01","TRUE","Ethnologisches Museum Berlin","crescent","TRUE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 191","","","","","catalogue","",""
"LI-025","GD-01","","? Gandhara","","","","2026-06-04T11:50:11.022Z","","GD-01","?","Gandhara","King Musicians and Dancers Original","waterdrop","single","Relief","smooth","tapering","no","short","2","2","yes","straight","GD-01","TRUE","Musée Guimet","ring","FALSE","FALSE","https://photodharma.net/Gandhara/10-Musee-Guimet/index.htm","literature","literature","catalogue","Curt Sachs,1940, p. 160","online_gallery","Siddiqui, 2021, p. 107","(Besseler & Schneider, 1981, p. 141)"
"LI-026","GD-02","","? Gandhara","","","","2026-06-04T11:50:11.022Z","","GD-02","0-300 CE","Gandhara","Lautenspieler 1","waterdrop","single","Relief","smooth","tapering","yes","short","2","4","yes","straight","GD-02","TRUE","Staatliche Museen zu Berlin","crescent","FALSE","FALSE","https://recherche.smb.museum/detail/2034321/zweiszeniger-fries-fragment-staubspende-links--szenentrenner-lautenspieler-rechts","","","","","online_collection","",""
"LI-016","CN-01","","? China","","","","2026-06-04T11:50:11.021Z","","CN-01","600-800 CE","China","Cavalière-musicienne","round","single","Figurine","obtuse","parallel","no","short","0","2","no","straight","CN-01","FALSE","Musée Cernuschi","n","FALSE","FALSE","https://www.parismuseescollections.paris.fr/fr/musee-cernuschi/oeuvres/cavaliere-musicienne-3#infos-principales","","","","","online_collection","",""
"LI-017","CN-02","","? China","","","","2026-06-04T11:50:11.021Z","","CN-02","581–618 CE","China","Sui Dynasty Female Musician with a Lute on a Horse","ovoid","single","Figurine","obtuse","parallel","no","short","0","4","yes","straight","CN-02","FALSE","The Palace Museum","n","FALSE","FALSE","https://intl.dpm.org.cn/Sculpture/97994.html","","","","","online_collection","",""
"LI-018","CN-03","","? China","","","","2026-06-04T11:50:11.021Z","","CN-03","618-907 CE","China","Tang Figurine with Pipa","ovoid","single","Figurine","obtuse","parallel","no","short","0","3","yes","straight","CN-03","FALSE","The Palace Museum","n","FALSE","FALSE","https://www.dpm.org.cn/collection/sculpture/230954.html","","","","","online_collection","",""
"LI-019","CN-04","","? China","","","","2026-06-04T11:50:11.021Z","","CN-04","600-650 CE","China","Hunan Miho Lute Player Figurine 1","ovoid","single","Figurine","smooth","tapering","no","short","2","4","yes","bent_backwards","CN-04","TRUE","Miho Museum","crescent","FALSE","FALSE","Muradova,2017, p. 14","","","","","literature","",""
"LI-020","CN-05","","? China","","","","2026-06-04T11:50:11.021Z","","CN-05","600-650 CE","China","Hunan Miho Lute Player Figurine 2","waterdrop","single","Figurine","obtuse","parallel","no","short","2","5","yes","straight","CN-05","TRUE","Miho Museum","crescent","FALSE","FALSE","Muradova,2017, p. 14","","","","","literature","",""
"LI-011","AY-05","","Anyang","","","","2026-06-04T11:50:11.020Z","","AY-05","594 CE","China","Anyang Zhangsheng Tomb Lute 1","ovoid","single","Figurine","obtuse","parallel","no","short","0","4","yes","bent_backwards","AY-05","TRUE","Henan Museum","n","TRUE","TRUE","https://www.chnmus.net/ch/collection/appraise/details.html?id=512157282454020857","","","","","online_collection","",""
"LI-012","AY-06","","Anyang","","","","2026-06-04T11:50:11.020Z","","AY-06","594 CE","China","Anyang Zhangsheng Tomb Lute 2","waterdrop","single","Figurine","smooth","parallel","no","short","0","n","yes","straight","AY-06","TRUE","Henan Museum","n","TRUE","TRUE","https://www.chnmus.net/ch/collection/appraise/details.html?id=512157282454020857","","","","","online_collection","",""
"LI-013","BY-01","","Beshyar","","","","2026-06-04T11:50:11.020Z","","BY-01","700-800 CE","Tarim_Basin","Beshyar Lute Player","waterdrop","single","Painting","smooth","tapering","no","short","2","4","yes","bent_backwards","BY-01","TRUE","Japan?","crescent","FALSE","FALSE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 190","","","","","catalogue","",""
"LI-014","BZ-01","","Bezeklik","","","","2026-06-04T11:50:11.020Z","","BZ-01","800-900 CE","Tarim_Basin","Bezeklik 16 Lute","ovoid","single","Painting","smooth","parallel","no","short","2","4","yes","bent_backwards","BZ-01","TRUE","in_situ","crescent","TRUE","TRUE","General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, pp. 161-162","","","","","catalogue","",""
"LI-015","CD-01","","Chengdu","","","","2026-06-04T11:50:11.020Z","","CD-01","965 CE","China","Chengdu Figurine with Lute","ovoid","single","Figurine","obtuse","parallel","no","short","2","4","yes","bent_backwards","CD-01","TRUE","Sichuan Museum","crescent","FALSE","FALSE","https://cdmuseum.com/xinwen/202011/1476.html","literature","","","Chengdu Institute of Cultural Relics and Archaeology, 2024, pp. 134-139","online_collection","",""
"LI-006","AT-01","","Ayrtam","","","","2026-06-04T11:50:11.019Z","","AT-01","200-300 CE","Bactria","Ayrtam Frieze","rectangular","single","Relief","obtuse","n","yes","short","4","4","n","n","AT-01","TRUE","Russia?","crescent","FALSE","FALSE","The World Society for the Study, 2020c, pp. 126-129","","","","","catalogue","",""
"LI-007","AY-01","","Anyang","","","","2026-06-04T11:50:11.019Z","","AY-01","575 CE","Sogdian","Anyang Fancui Grave Sogdian Lute Player","waterdrop","single","Vessel","smooth","tapering","no","short","0","5","yes","straight","AY-01","FALSE","Henan Museum","n","FALSE","FALSE","https://www.chnmus.net/ch/collection/appraise/details.html?id=512151357700927565","catalogue","literature","","World Society for the Study, 2021. p. 432","online_collection","Muradova, 2017",""
"LI-008","AY-02","","Anyang","","","","2026-06-04T11:50:11.019Z","","AY-02","550–577 CE","Sogdian","Anyang Funerary Bed Lute 1","ovoid","single","Relief","smooth","tapering","no","short","2","4","yes","bent_backwards","AY-02","TRUE","Smithsonian: National Museum of Asian Art","crescent","FALSE","FALSE","https://sogdians.si.edu/anyang-funerary-bed/","online_collection","","","https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/","online_collection","",""
"LI-009","AY-03","","Anyang","","","","2026-06-04T11:50:11.019Z","","AY-03","550–577 CE","Sogdian","Anyang Funerary Bed Lute 2","waterdrop","single","Relief","smooth","tapering","no","short","0","5","yes","straight","AY-03","TRUE","Smithsonian: National Museum of Asian Art","n","FALSE","FALSE","https://sogdians.si.edu/anyang-funerary-bed/","online_collection","","","https://sogdians.si.edu/sidebars/retracing-the-sounds-of-sogdiana-sogdian-music-and-musical-instruments-in-central-asia-and-china/","online_collection","",""
"LI-010","AY-04","","Anyang","","","","2026-06-04T11:50:11.019Z","","AY-04","594 CE","China","Anyang Zhangsheng Tomb Female Musician with a Lute","ovoid","single","Figurine","obtuse","parallel","no","short","0","3","yes","straight","AY-04","FALSE","The Metropolitan Museum of Art","n","FALSE","FALSE","https://www.metmuseum.org/art/collection/search/62948","","","","","online_collection","",""
"LI-004","AK-01","","Angka Kala","","","","2026-06-04T11:50:11.018Z","","AK-01","0-100 CE","Bactria","Angka Kala Lutenist","rectangular","single","Figurine","n","n","no","short","0","n","n","n","AK-01","FALSE","State Hermitage Museum","n","FALSE","FALSE","The World Society for the Study, 2020a, p. 348","","","","","catalogue","",""
"LI-005","AM-01","","Amaravati","","","","2026-06-04T11:50:11.018Z","","AM-01","200-300 CE","Deccan","Life Scenes of Buddha with Musicians","waterdrop","single","Relief","smooth","tapering","no","short","2","5","yes","straight","AM-01","FALSE","Indian Museum, Kolkata","n","FALSE","FALSE","https://commons.wikimedia.org/wiki/File:27.4._Life_scenes_of_Buddha-2nd_century_CE-Limestone-Amravati-Andhra_Pradesh-Sculpture_Gallery-Indian_Museum-Kolkata-_A1-A25070.jpg","catalogue","catalogue","","https://www.soundsofangkor.org/english/ancient-music/lute/ soundsofangkor.org","online_gallery","Besseler & Schneider, 1981, p. 101",""
