Code,Name,Location,Regional_Style,Period,Form,Body_Shape,Soundbox_Chamber_Count,Waist_Presence,Neck_Length,Neck_Width,Body_Neck_Boundary,Head_Angle,Pegbox Presence,Maximum_String_Count,Soundhole_Count,Soundhole_Shape,Obvious_Fret,Obvious_Plectrum,Obvious_Pickguard,Code,Collection,Source_Type_1,Citation_1,Source_Type_2,Citation_2,Source_Type_3,Citation_3,Source_Type_4,Citation_4
CN-02,Sui Dynasty Female Musician with a Lute on a Horse,? China,China,581–618 CE,Figurine,ovoid,single,no,short,parallel,obtuse,straight,yes,4,0,n,FALSE,FALSE,FALSE,CN-02,The Palace Museum,online_collection,https://intl.dpm.org.cn/Sculpture/97994.html,,,,,,
CN-03,Tang Figurine with Pipa,? China,China,618-907 CE,Figurine,ovoid,single,no,short,parallel,obtuse,straight,yes,3,0,n,FALSE,FALSE,FALSE,CN-03,The Palace Museum,online_collection,https://www.dpm.org.cn/collection/sculpture/230954.html,,,,,,
CN-04,Hunan Miho Lute Player Figurine 1,? China,China,600-650 CE,Figurine,ovoid,single,no,short,tapering,smooth,bent_backwards,yes,4,2,crescent,FALSE,TRUE,FALSE,CN-04,Miho Museum,literature,"Muradova,2017, p. 14",,,,,,
CN-05,Hunan Miho Lute Player Figurine 2,? China,China,600-650 CE,Figurine,waterdrop,single,no,short,parallel,obtuse,straight,yes,5,2,crescent,FALSE,TRUE,FALSE,CN-05,Miho Museum,literature,"Muradova,2017, p. 14",,,,,,
CN-06,MET Tang Lute Player Figurine,? China,China,650-700 CE,Figurine,ovoid,single,no,short,tapering,smooth,n,n,4,2,crescent,FALSE,TRUE,FALSE,CN-06,The Metropolitan Museum of Art,online_collection,https://www.metmuseum.org/art/collection/search/44801,,,,,,
DV-01,Dalverzintepa Headless Luter Playe Figurine,Dalverzintepa,Bactria,200-400 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,3,0,n,FALSE,TRUE,FALSE,DV-01,Uzbekistan?,literature,"Muradova,2017, p. 13",,,,,,
DV-02,Dalverzintepa Lute Player Figurine,Dalverzintepa,Bactria,100-300 CE,Figurine,waterdrop,single,no,short,tapering,smooth,straight,n,n,0,n,FALSE,TRUE,FALSE,DV-02,Uzbekistan?,literature,"Muradova,2017, p. 13",,,,,,
GC-01,Gaochang Lute,Gaochang,Tarim_Basin,800-900 CE,Painting,waterdrop,single,no,short,tapering,smooth,n,n,4,2,crescent,FALSE,TRUE,TRUE,GC-01,Ethnologisches Museum Berlin,catalogue,"General Editorial Board of The Great Series of Chinese Musical Artifacts, 1999, p. 191",,,,,,
GD-01,King Musicians and Dancers Original,? Gandhara,Gandhara,?,Relief,waterdrop,single,no,short,tapering,smooth,straight,yes,2,2,ring,FALSE,TRUE,FALSE,GD-01,Musée Guimet,online_gallery,https://photodharma.net/Gandhara/10-Musee-Guimet/index.htm,literature,"Curt Sachs,1940, p. 160",literature,"Siddiqui, 2021, p. 107 ",catalogue,"(Besseler & Schneider, 1981, p. 141)"
GD-02,Lautenspieler 1,? Gandhara,Gandhara,0-300 CE,Relief,waterdrop,single,yes,short,tapering,smooth,straight,yes,4,2,crescent,FALSE,TRUE,FALSE,GD-02,Staatliche Museen zu Berlin,online_collection,https://recherche.smb.museum/detail/2034321/zweiszeniger-fries-fragment-staubspende-links--szenentrenner-lautenspieler-rechts,,,,,,
